Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
4133,235.22,6.103,1390,1440,344,0.9709,13.86,30,33.1155849641,0,0,-1,0.0139925007,NN
4134,235.22,6.1,1390,1440,343,0.9709,13.85,30,33.1295774648,0,0,0,0.0060754441,NN
4135,235.23,6.099,1390,1440,343,0.971,13.84,30,33.1356529089,0,-10,-1,0.0271377888,NN
4136,235.29,6.095,1390,1430,342,0.9712,13.78,30,33.1627906977,0,0,-1,0.0187069754,NN
4137,235.29,6.091,1390,1430,341,0.9714,13.74,30,33.1814976731,0,0,2,-0.0407339701,NN
4138,235.2,6.097,1390,1430,343,0.9711,13.82,30,33.140763703,0,10,0,-0.0140031396,NN
4139,235.2,6.1,1390,1440,343,0.9709,13.85,30,33.1267605634,0,-10,0,0.0046663982,NN
4140,235.2,6.099,1390,1430,343,0.971,13.84,30,33.1314269615,0,10,0,0.0103031033,NN
4141,235.24,6.098,1390,1440,343,0.9711,13.82,30,33.1417300648,0,-10,-1,0.01119453,NN
4142,235.22,6.095,1390,1430,342,0.9711,13.8,30,33.1529245948,0,10,1,-0.0232610723,NN
4143,235.32,6.103,1390,1440,343,0.971,13.83,30,33.1296635225,0,-10,-2,0.0246705156,NN
